Code,Name,Latitude,Longitude,nx,ny,marine_reg_name,AddressA,AddressB,AddressC
DT_0042,교본초,34.7047222222222,128.306388888889,84,65,남해동부,경상남도,여수시,삼산면
DT_0043,영흥도,37.2386111111111,126.428611111111,50,120,서해북부,인천광역시,옹진군,영흥면
DT_0044,영종대교,37.545556,126.584444,53,126,서해북부,인천광역시,중구,중산동
DT_0045,격렬비열도,36.624369,125.561964,35,106,서해중부,충청남도,태안군,근흥면 가의도리
DT_0046,쌍정초,37.556161,130.939211,128,129,동해중부,경상북도,울릉군,저동리
DT_0047,도농탄,33.158056,126.274722,48,30,남해서부,제주특별자치도,서귀포시,가파리
DT_0048,속초등표,38.199478,128.613083,87,141,동해중부,강원특별자치도,속초시,청호해안길 (동해안 자전거길)
DT_0049,광양,34.903672,127.754836,74,69,남해서부,전라남도,광양시,제철로 1800
DT_0050,태안,36.9130555555556,126.238888888889,47,112,서해중부,충청남도,태안군,발전로
DT_0051,서천마량,36.1288888888889,126.495277777778,52,95,서해중부,충청남도,서천군,마량리
DT_0052,인천송도,37.3380555555556,126.586111111111,53,122,서해북부,인천광역시,연수구,송도동
DT_0054,진해,35.147222,128.643056,90,75,남해동부,경상남도,창원시,충장로
DT_0056,부산항신항,35.0775,128.784722,93,73,남해동부,경상남도,창원시,진해구 웅동2동
DT_0057,동해항,37.494722,129.143889,97,126,동해남부,강원특별자치도,동해시,갯목길
DT_0058,경인항,37.560833,126.601111,53,127,서해북부,,인천광역시,갑문1로
DT_0059,백령도,37.95565,124.736081,21,135,서해북부,,옹진군,백령로
DT_0060,연평도,37.657669,125.714417,38,129,서해북부,,옹진군,연평리
DT_0061,삼천포,34.924167,128.069722,80,70,남해동부,경상남도,사천시,어시장길
DT_0062,마산,35.1975,128.576389,89,76,남해동부,경상남도,창원시,제2부두로
DT_0063,가덕도,35.024178,128.810933,93,72,남해동부,,부산광역시,가덕해안로
DT_0064,교동대교,37.789611,126.339611,49,131,서해북부,,인천광역시,교동대교
DT_0065,덕적도,37.226333,126.156556,46,119,서해북부,,옹진군,덕적북로
DT_0067,안흥,36.6746388888889,126.129555555556,45,107,서해중부,충청남도,태안군,마도길
DT_0068,위도,35.6180844444444,126.301815833333,48,84,서해중부,전북특별자치도,부안군,위도로 2
DT_0091,포항,36.051777,129.376277,102,95,동해남부,경상북도,포항시,동해안 자전거길
DT_0092,여호항,34.661944,127.469167,69,64,남해서부,전라남도,고흥군,여호리
DT_0093,소무의도,37.373069,126.440066,51,122,서해북부,,인천광역시,소무의로16번길
DT_0094,서거차도,34.25142222,125.915449999,41,54,서해남부,전라남도,진도군,서거차도2길
IE_0060,이어도,32.1227777777778,125.182222222222,28,8,남해서부,제주,서귀포시 대정읍,가파리
IE_0061,신안가거초,33.941944,124.592778,17,48,서해남부,전라남도,신안군 흑산면,가거도리
IE_0062,옹진소청초,37.423056,124.738056,21,124,서해북부,인천광역시,옹진군 영흥면,외리 1133-18
AD_0001,시화방조제,37.311241,126.607595,53,121,서해북부,경기도,안산시 단원구,대부동동 2110
