Code,Name,Latitude,Longitude,Marine-REG_ID,Marine-REG_SP,Marine-REG_NAME,Temper-REG_ID,Temper-REG_SP,Temper-REG_NAME,division
SO_0573,양포항,35.881389,129.5275,12B20000,I,남해동부,11H10201,C,포항,경상북도
SO_0574,백사장항,36.586389,126.315,12A20000,I,서해중부,11C20102,C,태안,충청남도
SO_0576,화봉리,34.661111,126.256944,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0577,가거도,34.050833,125.128889,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0578,소매물도,34.621944,128.548056,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0581,강양항,35.39,129.344722,12B20000,I,남해동부,11H20101,C,울산,경상남도
SO_0631,암태도,34.853056,126.071389,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0699,천리포항,36.803889,126.146944,12A20000,I,서해중부,11C20102,C,태안,충청남도
SO_0701,홍도항,34.681111,125.195,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0702,진도옥도,34.350833,126.018611,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0703,땅끝항,34.298889,126.531111,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0704,소안항,34.15,126.631944,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0705,마량항,34.448889,126.821944,12A30000,I,서해남부,11F20303,C,강진,전라남도
SO_0706,청산도,34.180833,126.856111,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0707,시산항,34.394444,127.261667,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0708,안도항,34.479722,127.797778,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0709,두문포,34.643611,127.7975,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0710,봉우항,34.932778,127.9275,12B10000,I,남해서부,11H20405,C,남해,경상남도
SO_0711,창선도,34.840556,128.019444,12B20000,I,남해동부,11H20405,C,남해,경상남도
SO_0712,능양항,34.812222,128.245,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0731,대진항,38.501389,128.426167,12C20000,I,동해중부,11D20402,C,고성,강원영동
SO_0732,남애항,37.944222,128.788333,12C20000,I,동해중부,11D20403,C,양양,강원영동
SO_0733,강릉항,37.772278,128.951333,12C20000,I,동해중부,11D20501,C,강릉,강원영동
SO_0734,궁촌항,37.327806,129.270028,12C20000,I,동해중부,11D20602,C,삼척,강원영동
SO_0735,죽변항,37.054833,129.423917,12C20000,I,동해중부,11H10101,C,울진,경상북도
SO_0736,축산항,36.509944,129.448139,12C10000,I,동해남부,11H10102,C,영덕,경상북도
SO_0737,강구항,36.358583,129.391306,12C10000,I,동해남부,11H10102,C,영덕,경상북도
SO_0738,여호항,34.661556,127.469556,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0739,도장항,34.367306,127.011972,12B10000,I,남해서부,11F20301,C,완도,전라남도
SO_0740,보옥항,34.129,126.513556,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0752,검산항,35,126.107778,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0753,하의도웅곡,34.608333,126.038611,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0754,평호리,34.448056,126.455,12A30000,I,서해남부,11F20302,C,해남,전라남도
SO_0755,원동항,34.393889,126.648611,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0756,사초항,34.470278,126.761111,12A30000,I,서해남부,11F20303,C,강진,전라남도
SO_0757,안남리,34.730278,127.264444,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0758,달천도,34.761667,127.563056,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0759,장문리,34.873611,128.424167,12B20000,I,남해동부,11H20401,C,통영,경상남도
SO_0760,오산항,36.888889,129.416111,12C10000,I,동해남부,11H10101,C,울진,경상북도
SO_0761,녹동항,34.527028,127.134528,12B10000,I,남해서부,11F20403,C,고흥,전라남도
DT_0001,인천,37.451944,126.592222,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0002,평택,36.966944,126.822778,12A20000,I,서해중부,11B20605,C,평택,수도권
DT_0003,영광,35.426111,126.420556,12A30000,I,서해남부,21F20102,C,영광,서남해안
DT_0004,제주,33.5275,126.543056,12B10500,I,제주도해상,11G00201,C,제주,제주도
DT_0005,부산,35.096389,129.035278,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0006,묵호,37.550278,129.116389,12C20000,I,동해중부,11D20601,C,동해,강원영동
DT_0007,목포,34.779722,126.375556,12A30000,I,서해남부,21F20801,C,목포,서남해안
DT_0008,안산,37.192222,126.647222,12A10000,I,서해북부,11B20203,C,안산,수도권
DT_0009,포항,36.047222,129.383889,12C10000,I,동해남부,11H10201,C,포항,경상북도
DT_0010,서귀포,33.24,126.561667,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0011,후포,36.6775,129.453056,12C10000,I,동해남부,11H10101,C,울진,경상북도
DT_0012,속초,38.207222,128.594167,12C20000,I,동해중부,11D20401,C,속초,강원영동
DT_0013,울릉도,37.491389,130.913611,12C20000,I,동해중부,11E00101,C,울릉도,울릉도·독도
DT_0014,통영,34.827778,128.434722,12B20000,I,남해동부,11H20401,C,통영,경상남도
DT_0015,마산,35.21,128.588889,12B20000,I,남해동부,11H20301,C,창원,경상남도
