#START7777
#--------------------------------------------------------------------------------------------------
#  주간/중기예보구역 조회
#---------------------------------------------------------------------------------------------------
#  1. REG_ID   : 예보구역코드
#  2. TM_ST    : 시작시각(년월일시분,KST)
#  3. TM_ED    : 종료시각(년월일시분,KST)
#  4. REG_SP   : 특성 (A:육상,C:도시,H:해상)
#  5. REG_NAME : 예보구역명
#---------------------------------------------------------------------------------------------------
# REG_ID TM_ST        TM_ED        REG_SP REG_NAME
21F20201 201610131800 210012310000 C      진도 
21F20801 201501221100 210012310000 C      목포 
21F20802 201610131800 210012310000 C      영암 
21F20803 201610131800 210012310000 C      신안 
21F20804 201610131800 210012310000 C      무안 
11D10000 201501221100 210012310000 A      강원영서 
11D10101 201610131800 210012310000 C      철원 
11D10102 201610131800 210012310000 C      화천 
11D10201 201610131800 210012310000 C      인제 
11D10202 201610131800 210012310000 C      양구 
11D10301 201501221100 210012310000 C      춘천 
11D10302 201610131800 210012310000 C      홍천 
11D10401 201501221100 210012310000 C      원주 
11D10402 201610131800 210012310000 C      횡성 
11D10501 201610131800 210012310000 C      영월 
11D10502 201610131800 210012310000 C      정선 
11D10503 201610131800 210012310000 C      평창 
11D20000 199001010000 210012310000 A      강원영동 
11D20201 201610131800 210012310000 C      대관령 
11D20301 201610131800 210012310000 C      태백 
11D20401 201610131800 210012310000 C      속초 
11D20402 201610131800 210012310000 C      고성 
11D20403 201610131800 210012310000 C      양양 
11D20501 199001010000 210012310000 C      강릉 
11D20601 201610131800 210012310000 C      동해 
11D20602 201610131800 210012310000 C      삼척 
11H10000 201507061100 210012310000 A      경상북도 
11H10101 201610131800 210012310000 C      울진 
11H10102 201610131800 210012310000 C      영덕 
11H10201 201501221100 210012310000 C      포항 
11H10202 201610131800 210012310000 C      경주 
11H10301 201610131800 210012310000 C      문경 
11H10302 201610131800 210012310000 C      상주 
11H10303 201610131800 210012310000 C      예천 
11H10401 201610131800 210012310000 C      영주 
11H10402 201610131800 210012310000 C      봉화 
11H10403 201610131800 210012310000 C      영양 
11H10501 201501221100 210012310000 C      안동 
11H10502 201610131800 210012310000 C      의성 
11H10503 201610131800 210012310000 C      청송 
11H10601 201610131800 210012310000 C      김천 
11H10602 201610131800 210012310000 C      구미 
11H10604 201610131800 210012310000 C      고령 
11H10605 201610131800 210012310000 C      성주 
11H10701 200902010000 210012310000 C      대구 
11F10000 202405301100 210012310000 A      전북자치도 
11F10201 200902010000 210012310000 C      전주 
11F10202 201610131800 210012310000 C      익산 
11F10203 201610131800 210012310000 C      정읍 
11F10204 201610131800 210012310000 C      완주 
11F10301 201610131800 210012310000 C      장수 
11F10302 201610131800 210012310000 C      무주 
11F10303 201610131800 210012310000 C      진안 
11B10101 201501221100 210012310000 C      서울 
11B10102 201610131800 210012310000 C      과천 
11B10103 201610131800 210012310000 C      광명 
11B20101 201610131800 210012310000 C      강화 
11B20102 201610131800 210012310000 C      김포 
11B20201 201501221100 210012310000 C      인천 
11B20202 201610131800 210012310000 C      시흥 
11B20203 201610131800 210012310000 C      안산 
11B20204 201610131800 210012310000 C      부천 
#7777END
