Code,Name,Latitude,Longitude,nx,ny,Closest_Name,Closest_Latitude,Closest_Longitude
DT_0049,광양,34.903672,127.754836,83,74,광양,34.90342,127.75483
DT_0050,태안,36.9130555555556,126.238888888889,54,111,태안,36.9133,126.2386
DT_0051,서천마량,36.1288888888889,126.495277777778,58,99,"서천(마량)",36.1286,126.4956
DT_0052,인천송도,37.3380555555556,126.586111111111,58,122,"인천(송도)",37.3381,126.5861
DT_0054,진해,35.147222,128.643056,96,79,진해군항,35.14722,128.64306
DT_0056,부산항신항,35.0775,128.784722,98,76,부산신항,35.0744,128.7869
DT_0057,동해항,37.494722,129.143889,103,122,묵호,37.5475,129.11861111
DT_0058,경인항,37.560833,126.601111,59,127,"인천(송도)",37.3381,126.5861
DT_0059,백령도,37.95565,124.736081,40,134,백령도,37.9556,124.7361
DT_0060,연평도,37.657669,125.714417,47,128,연평도,37.61944444,125.64833333
DT_0061,삼천포,34.924167,128.069722,89,74,삼천포,34.924056,128.069722
DT_0062,마산,35.1975,128.576389,95,80,마산,35.19694444,128.58
DT_0063,가덕도,35.024178,128.810933,99,74,가덕도,35.02166667,128.81305556
DT_0064,교동대교,37.789611,126.339611,55,131,볼음도,37.6128,126.1347
DT_0065,덕적도,37.226333,126.156556,53,119,덕적도,37.2361,126.0188
DT_0067,안흥,36.6746388888889,126.129555555556,52,107,안흥,36.67,126.135
DT_0068,위도,35.6180844444444,126.301815833333,55,87,위도,35.6153,126.3039
DT_0091,포항,36.051777,129.376277,102,95,포항,36.35,129.7833
DT_0092,여호항,34.661944,127.469167,78,68,고흥,34.47666667,127.3475
DT_0093,소무의도,37.373069,126.440066,56,123,영흥도,37.2367,126.4314
DT_0094,서거차도,34.25142222,125.915449999,48,61,조도,34.286,126.115
